Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shareef Abdur-Rahim\abdursh01,PF,29,SAC,72,1961,17.2,0.588,0.035,0.44,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,,4,2.2,6.2,0.152,,0.5,0.4,0.9,1.4
2,Alex Acker\ackeral01,SG,23,DET,5,35,-2.4,0.281,0.313,0,3.4,13.7,8.5,17.9,1.6,0,20,27.2,,-0.2,0,-0.2,-0.23,,-11,-4.2,-15.3,-0.1
3,Malik Allen\allenma01,PF,27,CHI,54,701,11.5,0.504,0.004,0.154,7.2,15.7,11.5,4.9,1,1.8,11.4,19.2,,0,1,1,0.068,,-3,0.3,-2.7,-0.1
4,Ray Allen*\allenra02,SG,30,SEA,78,3022,22.2,0.59,0.435,0.239,2.8,10.6,6.6,17.2,1.8,0.4,10.2,27.4,,9.8,-0.3,9.5,0.15,,6.4,-2,4.4,4.9
5,Tony Allen\allento01,PG,24,BOS,51,978,12.9,0.554,0.124,0.489,4.1,9.6,6.9,11.2,2.7,1.4,16.8,18.8,,0.6,1,1.7,0.082,,-2.3,0.9,-1.4,0.1
6,Rafer Alston\alstora01,PG,29,HOU,63,2431,12.6,0.475,0.423,0.194,1.8,10.4,6.1,30.8,2.3,0.5,16.4,18.8,,0.2,3.1,3.4,0.067,,-1,0.6,-0.4,1
7,Chris Andersen\anderch01,C,27,NOK,32,570,14.1,0.562,0,1.051,12.4,20.2,16.2,1.7,0.8,5.9,15.4,13.9,,0.6,0.7,1.3,0.112,,-2,0.9,-1.2,0.1
8,Alan Anderson\anderal01,SF,23,CHA,36,564,10.4,0.52,0.32,0.227,4.4,10.3,7.2,9.3,1,0.6,13.9,18.2,,0.2,0.3,0.4,0.037,,-1.7,-1.7,-3.3,-0.2
9,Derek Anderson\anderde01,SG,31,TOT,43,1047,10.8,0.496,0.442,0.366,2.4,13.3,8,15.7,1.2,0.5,13.3,18.2,,0.5,1.1,1.6,0.074,,-1.3,0.1,-1.2,0.2
9,Derek Anderson\anderde01,SG,31,HOU,20,582,12.5,0.527,0.387,0.422,2.5,14.1,8.4,16.1,1.4,0.6,15.3,19.8,,0.3,0.7,1,0.084,,-0.4,0.7,0.3,0.3
9,Derek Anderson\anderde01,SG,31,MIA,23,465,8.7,0.453,0.515,0.292,2.4,12.4,7.6,15.1,0.9,0.3,10.4,16.3,,0.2,0.4,0.6,0.061,,-2.4,-0.7,-3.1,-0.1
10,Shandon Anderson\andersh01,SF,32,MIA,48,638,6.2,0.47,0.151,0.143,3.5,11.1,7.5,6.9,1.4,0.7,15.2,11.4,,-0.1,0.7,0.5,0.039,,-4.1,0.4,-3.7,-0.3
11,Martynas Andriuškevičius\andrima01,C,19,CLE,6,9,15.5,0,0,0,13,39.8,26.3,0,11.9,0,0,5.1,,0,0,0,0.155,,-1.8,7,5.2,0
12,Carmelo Anthony\anthoca01,SF,21,DEN,80,2941,22,0.563,0.097,0.451,4.9,10.7,7.8,14.3,1.5,1.1,10.4,32,,6.8,2.6,9.4,0.153,,3.5,-0.9,2.7,3.5
13,Rafael Araújo\araujra01,C,25,TOR,52,601,4.5,0.385,0.007,0.193,8.4,21.5,14.6,3.7,2.1,0.8,21.1,15.3,,-1.2,0.4,-0.8,-0.066,,-6.7,-1,-7.7,-0.9
14,Gilbert Arenas\arenagi01,PG,24,WAS,80,3384,23.8,0.581,0.324,0.479,2,7.8,4.8,27,2.5,0.6,12.8,30.5,,11,2.6,13.6,0.193,,5.4,0,5.4,6.3
15,Trevor Ariza\arizatr01,SF,20,TOT,57,999,11.8,0.468,0.022,0.562,9.6,17.1,13.3,9.8,3,0.9,18,15.8,,-0.1,1,0.9,0.043,,-1.8,1.1,-0.7,0.3
15,Trevor Ariza\arizatr01,SF,20,NYK,36,709,10.2,0.459,0.021,0.527,8.3,15.3,11.7,10.4,3.2,1,20.4,14.4,,-0.4,0.6,0.3,0.02,,-2.4,1.5,-0.9,0.2
15,Trevor Ariza\arizatr01,SF,20,ORL,21,290,15.8,0.485,0.025,0.625,12.7,21.5,17.3,8.3,2.6,0.5,13.6,19.3,,0.2,0.4,0.6,0.101,,-0.2,0,-0.3,0.1
16,Darrell Armstrong\armstda01,PG,37,DAL,62,622,7.3,0.444,0.375,0.328,3.6,12,7.8,20.6,2.4,0.4,28.4,15.4,,-0.7,0.7,0,0.003,,-4.2,0.2,-4,-0.3
17,Carlos Arroyo\arroyca01,PG-SG,26,TOT,77,1194,15.6,0.512,0.053,0.362,3.3,9.8,6.6,31.6,1.7,0.2,15.9,20.7,,1.6,1.1,2.7,0.107,,-0.1,-0.4,-0.5,0.5
17,Carlos Arroyo\arroyca01,PG,26,DET,50,600,12.5,0.433,0.038,0.369,4.7,9.2,6.9,39.3,1.8,0.4,19.8,18,,0.3,0.7,1,0.079,,-2.1,-0.1,-2.2,0
17,Carlos Arroyo\arroyca01,SG,26,ORL,27,594,18.8,0.569,0.063,0.357,1.9,10.3,6.2,23.8,1.7,0.1,12.9,23.4,,1.3,0.4,1.7,0.135,,1.9,-0.6,1.3,0.5
18,Chucky Atkins\atkinch01,PG-SG,31,TOT,71,1713,12.9,0.526,0.478,0.284,1.6,6.8,4.2,20,1.4,0.1,11.9,20.2,,2.1,1.4,3.6,0.1,,-0.1,-0.8,-0.9,0.4
18,Chucky Atkins\atkinch01,SG,31,WAS,28,552,10.4,0.498,0.529,0.178,2.5,7.2,4.7,19.8,1.3,0,13.8,17.6,,0.4,0.2,0.6,0.056,,-0.6,-1,-1.6,0
18,Chucky Atkins\atkinch01,PG,31,MEM,43,1161,14.1,0.537,0.456,0.331,1.2,6.6,3.9,20.1,1.4,0.1,11.1,21.5,,1.7,1.2,2.9,0.121,,0.1,-0.8,-0.6,0.4
19,Stacey Augmon\augmost01,SF,37,ORL,36,385,7.6,0.412,0,0.411,5.9,10.9,8.5,9,1.7,1.2,11.3,12,,0,0.3,0.3,0.033,,-2.7,0.6,-2.1,0
20,Vin Baker\bakervi01,C,34,LAC,8,85,11.2,0.589,0,1.2,2.9,22.2,13,7,2.5,3.5,28.2,17.4,,0,0.2,0.1,0.072,,-4.9,2.5,-2.4,0
21,Marcus Banks\banksma01,PG,24,TOT,58,1497,13.6,0.543,0.135,0.314,1.9,8.8,5.4,25.3,1.9,0.6,18.3,20.6,,0.9,1.4,2.3,0.074,,-1.4,-0.2,-1.7,0.1
21,Marcus Banks\banksma01,PG,24,BOS,18,269,9.4,0.531,0.238,0.375,1.9,6.6,4.3,19.2,1.4,0,19.8,19.9,,0,0.1,0.2,0.033,,-3.8,-2,-5.9,-0.3
21,Marcus Banks\banksma01,PG,24,MIN,40,1228,14.5,0.545,0.113,0.302,1.9,9.2,5.7,26.6,2.1,0.7,17.9,20.7,,0.8,1.3,2.1,0.083,,-0.9,0.2,-0.7,0.4
22,Leandro Barbosa\barbole01,SG,23,PHO,57,1592,15.1,0.589,0.346,0.259,2.2,8.1,5.2,14.4,1.5,0.3,12.3,20.3,,2.6,1.2,3.8,0.115,,0.4,-0.5,-0.1,0.8
23,Matt Barnes\barnema02,PF-SF,25,TOT,56,631,10.7,0.545,0.107,0.336,8.9,13.7,11.3,7,1.6,0.8,15.7,13.8,,0.5,0.4,1,0.075,,-3,-0.1,-3.1,-0.2
23,Matt Barnes\barnema02,SF,25,NYK,6,93,9.8,0.409,0.133,0.133,9.1,22.5,15.7,10.9,2.3,0,15.9,18.4,,-0.1,0.1,0,-0.012,,-2.3,1.1,-1.1,0
23,Matt Barnes\barnema02,PF,25,PHI,50,538,10.8,0.578,0.1,0.391,8.9,12.2,10.5,6.3,1.5,1,15.7,13,,0.6,0.4,1,0.09,,-3.1,-0.3,-3.4,-0.2
24,Andre Barrett\barrean01,PG,23,TOT,19,282,11.3,0.398,0.135,0.115,3.7,7.1,5.4,29.5,1.9,0,12.1,20.3,,-0.1,0,-0.1,-0.019,,-1.7,-2,-3.6,-0.1
24,Andre Barrett\barrean01,PG,23,PHO,2,21,14.1,0.541,0.143,0.429,5.4,10.3,7.9,13.3,0,0,10.7,19.9,,0,0,0,0.109,,0.5,-2.4,-1.9,0
24,Andre Barrett\barrean01,PG,23,TOR,17,261,11,0.386,0.134,0.093,3.6,6.8,5.2,30.9,2,0,12.2,20.4,,-0.2,0,-0.2,-0.029,,-1.9,-1.9,-3.8,-0.1
25,Earl Barron\barroea01,C,24,MIA,8,45,-2.8,0.366,0,0.25,5.5,20.1,13.1,0,0,0,22,23.4,,-0.2,0,-0.2,-0.167,,-13.4,-4.3,-17.7,-0.2
26,Brent Barry\barrybr01,SG,34,SAS,74,1259,14.8,0.581,0.586,0.171,2.8,11.9,7.5,15.5,1.7,1.5,12.3,16,,2.1,2.2,4.3,0.162,,1.4,2,3.4,1.7
27,Jon Barry\barryjo01,SG,36,HOU,20,342,8.5,0.553,0.492,0.446,0.3,10.1,5.3,12.5,2.1,0.2,22.1,13.9,,0,0.4,0.4,0.055,,-3,1.5,-1.5,0
28,Eddie Basden\basdeed01,SF,22,CHI,19,141,10.3,0.471,0.189,0.27,5.7,17,11.4,8.8,3.3,1.1,17.9,16.1,,-0.1,0.3,0.2,0.065,,-3.9,3.2,-0.6,0
29,Brandon Bass\bassbr01,PF,20,NOK,29,268,9.1,0.434,0,0.271,7.8,22.8,15.1,1.8,0.6,2.2,12.3,15.6,,-0.2,0.3,0.1,0.013,,-3.6,-1.4,-5,-0.2
30,Esteban Batista\batises01,PF,22,ATL,57,495,7.1,0.489,0.013,0.663,14.4,20.7,17.5,2.1,1.6,1.7,26.9,13,,-0.2,0.3,0.1,0.011,,-6.2,-1.7,-7.9,-0.7
31,Tony Battie\battito01,C,29,ORL,82,2215,12.2,0.531,0.011,0.243,8.3,16.9,12.7,3.7,1.1,2.5,12.6,14.9,,1.7,2.2,3.8,0.083,,-1.7,0,-1.8,0.1
32,Shane Battier\battish01,SF,27,MEM,81,2839,14.7,0.574,0.266,0.335,7.1,11.2,9.2,8.2,1.8,3.2,11.2,13.7,,4.6,4.5,9.1,0.153,,0.8,1.8,2.6,3.3
33,Lonny Baxter\baxtelo01,C-PF,27,TOT,41,400,11.9,0.494,0,0.337,13.2,21.3,17.1,1.7,1.5,1.6,14.3,16.2,,0.1,0.6,0.7,0.088,,-3.7,-0.8,-4.5,-0.2
33,Lonny Baxter\baxtelo01,C,27,HOU,23,281,13.1,0.51,0,0.264,16.1,18.9,17.5,1.3,1.7,2,13.9,15.8,,0.2,0.5,0.7,0.119,,-3.6,-0.6,-4.2,-0.1
33,Lonny Baxter\baxtelo01,PF,27,CHA,18,119,9.2,0.461,0,0.5,6.4,27.1,16.1,2.6,0.9,0.7,15.2,17.2,,-0.1,0.1,0,0.014,,-3.8,-1.3,-5.2,-0.1
34,Charlie Bell\bellch01,SG,26,MIL,59,1283,14.7,0.55,0.41,0.217,1.9,9.3,5.6,16.6,2.4,0.3,8.4,17.5,,2.2,1.1,3.3,0.123,,0.1,0.8,1,0.9
35,Raja Bell\bellra01,SG,29,PHO,79,2959,12.9,0.584,0.48,0.157,1.7,7.7,4.7,9.8,1.3,0.5,8.2,16.4,,4.7,2.1,6.8,0.11,,0.2,0.1,0.2,1.6
36,Jonathan Bender\bendejo01,SF,25,IND,2,21,26.4,0.85,0,0.4,0,21.3,11,18.5,0,3.5,0,13,,0.1,0,0.2,0.359,,5.9,3.9,9.8,0.1
37,Mike Bibby\bibbymi01,PG,27,SAC,82,3167,17.9,0.554,0.36,0.292,1.1,7.7,4.4,25.2,1.4,0.2,11.3,25.4,,6,2.4,8.4,0.127,,2.7,-1.2,1.5,2.8
38,Andris Biedriņš\biedran01,C,19,GSW,68,1000,13.6,0.595,0,0.389,13.5,18.2,15.8,3.9,1.2,3.5,13.6,11.2,,1.6,1.3,2.9,0.137,,-2.3,0.6,-1.6,0.1
39,Chauncey Billups\billuch01,PG,29,DET,81,2925,23.4,0.602,0.42,0.514,1.6,8.7,5.1,39.3,1.3,0.2,12,22.9,,12.7,2.8,15.5,0.254,,6.2,0.1,6.2,6.1
40,Steve Blake\blakest01,PG,25,POR,68,1781,14.5,0.549,0.391,0.194,1.7,8.2,4.9,29,1.3,0.2,14,15.8,,3,-0.2,2.8,0.076,,1,-2,-1,0.4
41,Andray Blatche\blatcan01,PF,19,WAS,29,175,10.1,0.45,0.194,0.179,7.7,17.8,12.6,9.5,1.5,3.1,14.2,21.5,,-0.1,0.2,0.1,0.026,,-4.9,-0.1,-5,-0.1
42,Mark Blount\blounma01,C,30,TOT,81,2240,12.1,0.549,0,0.302,5.3,14.2,9.8,7.8,1,2.6,18.9,21.4,,-0.5,2.3,1.7,0.037,,-2.9,-0.6,-3.4,-0.8
42,Mark Blount\blounma01,C,30,BOS,39,1083,12,0.556,0,0.334,4.2,13.8,9.1,10.8,0.7,2.5,21.6,23.6,,-0.6,0.9,0.2,0.01,,-2.7,-1.1,-3.7,-0.5
42,Mark Blount\blounma01,C,30,MIN,42,1157,12.1,0.542,0,0.268,6.4,14.5,10.5,5,1.2,2.6,15.8,19.3,,0.1,1.4,1.5,0.063,,-3,-0.1,-3.1,-0.3
43,Keith Bogans\boganke01,SG-SF,25,TOT,72,1912,10.7,0.497,0.368,0.342,3.3,12.4,7.8,11.2,2,0.4,12.6,17.2,,0.3,2,2.3,0.058,,-1.8,0.5,-1.4,0.3
43,Keith Bogans\boganke01,SG,25,CHA,39,848,12.4,0.51,0.34,0.365,3.7,11.3,7.2,8.7,2.4,0.3,10.9,19.6,,0.4,0.7,1.2,0.066,,-1.1,0,-1,0.2
43,Keith Bogans\boganke01,SF,25,HOU,33,1064,9.3,0.482,0.398,0.316,2.9,13.3,8.2,13.3,1.6,0.5,14.4,15.3,,-0.1,1.3,1.2,0.053,,-2.5,0.9,-1.6,0.1
44,Andrew Bogut\bogutan01,PF,21,MIL,82,2348,15.2,0.555,0.005,0.32,9.4,19.8,14.5,13.4,1.1,2.3,15.3,15.9,,3.1,2.4,5.5,0.113,,-0.3,0.7,0.4,1.4
45,Matt Bonner\bonnema01,PF,25,TOR,78,1710,13.7,0.582,0.52,0.163,5.9,14.8,10.2,5.2,1.5,1.4,6,14.4,,3.5,0.5,4.1,0.114,,1.3,-0.6,0.7,1.2
46,Calvin Booth\boothca01,C,29,WAS,33,250,8.9,0.451,0.043,0.191,8.6,15.8,12.1,7.2,1.9,2.8,13.6,10.5,,0.1,0.3,0.4,0.07,,-3.7,1.3,-2.3,0
47,Carlos Boozer\boozeca01,PF,24,UTA,33,1025,21.4,0.585,0,0.343,8.6,25.3,16.9,18,1.6,0.6,13.1,23.9,,2.2,1.3,3.5,0.162,,2.4,-0.3,2.1,1.1
48,Chris Bosh\boshch01,C,21,TOR,70,2751,23.2,0.585,0.012,0.534,8.7,20.6,14.4,11.8,1,2.3,10.5,25.2,,8.7,1.1,9.8,0.17,,3.9,-1,2.9,3.4
49,Bruce Bowen\bowenbr01,SF,34,SAS,82,2755,9.1,0.54,0.457,0.157,1.5,11.9,6.9,6.8,1.6,0.8,10.5,11.1,,1.7,4.5,6.2,0.108,,-1.8,2,0.3,1.6
50,Ryan Bowen\bowenry01,SF,30,HOU,68,652,4,0.338,0.177,0.113,5.7,10.1,7.9,5.9,1.8,0.8,9.1,10.5,,-0.6,0.8,0.2,0.012,,-5.8,0.7,-5.1,-0.5
51,Earl Boykins\boykiea01,PG,29,DEN,60,1542,15.7,0.513,0.271,0.263,1.6,4.5,3.1,25,1.6,0.2,10.1,23.8,,2,0.9,2.9,0.09,,1.3,-1.3,0,0.7
52,Michael Bradley\bradlmi01,PF,26,PHI,46,367,8.4,0.417,0.063,0.038,12.7,21.4,17.1,6.9,0.7,1.4,19.1,12.3,,-0.2,0.3,0.1,0.019,,-3.2,-1.4,-4.6,-0.2
53,Elton Brand\brandel01,PF,26,LAC,79,3099,26.5,0.58,0.002,0.396,9.3,19.9,14.8,13.1,1.4,4.9,9.3,27.7,,9.3,5.5,14.8,0.229,,5.1,1.6,6.7,6.8
54,Primož Brezec\brezepr01,C,26,CHA,79,2165,15.3,0.552,0.003,0.283,9.1,14.8,11.8,3.7,0.5,1.1,8.7,20,,3.4,1.2,4.6,0.102,,-0.4,-2,-2.4,-0.2
55,Devin Brown\brownde02,SG,27,UTA,81,1711,10.3,0.493,0.224,0.402,5.1,9.6,7.3,10.7,1.4,0.7,13.8,19.5,,0.4,1.1,1.4,0.041,,-2.1,-1.3,-3.3,-0.6
56,Kwame Brown\brownkw01,C,23,LAL,72,1978,11.7,0.545,0.003,0.606,10.8,17.3,14.1,5.6,0.7,1.8,16.9,13.6,,1.7,1.9,3.6,0.088,,-1.7,-0.8,-2.5,-0.3
57,P.J. Brown\brownpj01,C,36,NOK,75,2380,12.7,0.515,0,0.288,8.9,18.8,13.7,6.3,1,1.7,12,14.7,,2.1,2.3,4.4,0.088,,-1.3,-0.2,-1.5,0.3
58,Rick Brunson\brunsri01,PG,33,TOT,27,246,6.3,0.455,0.241,0.222,0.5,9.9,5.3,23.4,1.8,0.3,27.1,15.6,,-0.4,0.2,-0.1,-0.025,,-4.9,-0.2,-5.2,-0.2
58,Rick Brunson\brunsri01,PG,33,SEA,4,31,7.8,0.625,0.125,0,0,7.9,3.9,10.5,0,0,27.3,15.9,,0,0,0,-0.058,,-3.7,-3.6,-7.2,0
58,Rick Brunson\brunsri01,PG,33,HOU,23,215,6.1,0.429,0.261,0.261,0.6,10.2,5.5,25.2,2,0.4,27,15.6,,-0.4,0.3,-0.1,-0.02,,-5.1,0.2,-4.9,-0.2
59,Kobe Bryant*\bryanko01,SG,27,LAL,80,3277,28,0.559,0.238,0.377,2.6,12.7,7.6,24.1,2.4,0.7,9,38.7,,11.6,3.7,15.3,0.224,,7.4,0.2,7.6,8
60,Greg Buckner\buckngr01,SG,29,DEN,73,1758,11.4,0.556,0.583,0.132,2.1,11.7,6.9,10.8,2.5,0.9,10.5,12.6,,1.7,2,3.8,0.103,,-1.2,1.7,0.5,1.1
61,Pat Burke\burkepa01,C,32,PHO,42,346,9.9,0.517,0.055,0.165,6.9,16.3,11.7,6.8,0.9,2.6,19.5,21.9,,-0.3,0.4,0.1,0.009,,-6.1,-0.1,-6.2,-0.4
62,Antonio Burks\burksan01,PG,25,MEM,57,570,5.1,0.367,0.042,0.16,0.9,7,3.9,22.1,2,0,18.9,16.2,,-1.1,0.7,-0.4,-0.033,,-6.4,-0.4,-6.8,-0.7
63,Kevin Burleson\burleke01,PG,26,CHA,39,340,5.1,0.367,0.614,0.193,1.3,8,4.4,20.8,3.9,0.5,20.8,15.7,,-0.6,0.4,-0.2,-0.032,,-7.8,1.6,-6.2,-0.4
64,Caron Butler\butleca01,SF,25,WAS,75,2708,17,0.535,0.11,0.306,4.8,15.6,10,12.1,2.4,0.5,12.4,23.2,,3.5,2.8,6.3,0.112,,0.4,0.1,0.6,1.7
65,Jackie Butler\butleja01,C,20,NYK,55,740,14.8,0.587,0,0.358,10.9,19.3,15,6.1,1.2,3.4,19.9,19,,0.7,0.6,1.2,0.078,,-2,-0.8,-2.8,-0.2
66,Rasual Butler\butlera01,SF,26,NOK,79,1875,10.8,0.501,0.382,0.18,3.2,11.8,7.4,3.7,0.9,2,8.7,18.6,,0.4,1.3,1.7,0.045,,-0.9,-1.1,-2,0
67,Andrew Bynum\bynuman01,C,18,LAL,46,338,7.4,0.394,0,0.329,11.9,16,13.9,4.1,0.6,5,15.3,15,,-0.4,0.4,0.1,0.007,,-6.1,-0.8,-6.9,-0.4
68,Will Bynum\bynumwi01,PG,23,GSW,15,162,8.7,0.457,0.173,0.308,2,6.3,4.1,19.2,2.2,0,19.2,20.1,,-0.2,0.1,-0.1,-0.021,,-4.5,-0.5,-5,-0.1
69,Žarko Čabarkapa\cabarza01,PF,24,GSW,61,505,9.9,0.472,0.115,0.483,8,16.7,12.3,6.5,1.3,1,14.2,21.7,,-0.2,0.5,0.3,0.031,,-4.7,-0.6,-5.3,-0.4
70,José Calderón\caldejo01,SG,24,TOR,64,1487,11.4,0.495,0.138,0.295,2.4,9.5,5.8,29.1,1.5,0.2,22.3,14.1,,0.9,0,0.9,0.029,,-1,-1.8,-2.8,-0.3
71,Marcus Camby\cambyma01,C,31,DEN,56,1857,19.9,0.499,0.017,0.24,8.4,33.3,21,10.2,2.2,7.5,11.4,19.5,,1,4.5,5.5,0.141,,0.1,3.3,3.5,2.6
72,Brian Cardinal\cardibr01,PF,28,MEM,36,402,10,0.505,0.261,0.243,3.4,13.1,8.3,14.2,3.2,0,18,18.1,,-0.1,0.7,0.6,0.074,,-4.6,1.7,-2.9,-0.1
73,Matt Carroll\carroma01,SG,25,CHA,78,1275,13.9,0.54,0.389,0.353,2.9,12,7.1,4.6,1.9,0.7,8,20.8,,1.6,1,2.6,0.097,,0,-0.6,-0.6,0.5
74,Anthony Carter\cartean01,PG,30,MIN,45,589,10.6,0.465,0.109,0.401,1.9,10.5,6.3,26.9,2.2,1.2,19.9,16.2,,-0.1,0.7,0.6,0.047,,-3.5,1.2,-2.2,0
75,Vince Carter\cartevi01,SG,29,NJN,79,2906,21.6,0.536,0.242,0.396,5.4,13.4,9.3,24.4,1.7,1.5,10.7,32.3,,4.9,4.4,9.3,0.153,,4.5,0.5,5.1,5.2
76,Sam Cassell\cassesa01,PG,36,LAC,78,2653,18.5,0.534,0.171,0.301,1.8,10.4,6.3,32.5,1.5,0.3,12.2,25,,4.8,2.8,7.6,0.137,,2.1,-0.5,1.6,2.4
77,Kelvin Cato\catoke01,C,31,TOT,27,333,9.3,0.493,0,0.417,7.6,18,12.9,1.9,1,2.8,15.3,16.7,,0,0.4,0.3,0.045,,-4.9,-0.3,-5.2,-0.3
77,Kelvin Cato\catoke01,C,31,ORL,23,299,9.4,0.503,0,0.486,8.1,17.7,13,1.1,1.1,2.6,15.5,16.4,,0,0.3,0.3,0.052,,-4.7,-0.2,-4.9,-0.2
77,Kelvin Cato\catoke01,C,31,DET,4,34,7.7,0.417,0,0,3.5,21.2,12.2,9.7,0,4.3,14.3,19.6,,-0.1,0.1,0,-0.013,,-6.6,-0.8,-7.5,0
78,Tyson Chandler\chandty01,C,23,CHI,79,2121,12.2,0.567,0.004,0.682,14.4,24.2,19.3,5.6,1,3.8,25.1,10.4,,1.5,3.9,5.4,0.123,,-2.2,1.8,-0.4,0.9
79,Calbert Cheaney\cheanca01,SF,34,GSW,42,448,6,0.412,0.074,0.074,4.9,10.5,7.6,6.6,1.5,0.3,13.2,12.8,,-0.3,0.3,0,0,,-4.7,-0.1,-4.8,-0.3
80,Josh Childress\childjo01,SF,22,ATL,74,2249,15.8,0.626,0.129,0.399,7,13.9,10.3,9.4,2,1.3,14.6,14,,4.6,1.1,5.7,0.121,,1.3,-0.1,1.2,1.8
81,Doug Christie\chrisdo01,SG,35,DAL,7,185,6.8,0.416,0.038,0.462,1.3,7,4.2,10.9,2.7,0.4,16.1,9.4,,-0.1,0.2,0.1,0.035,,-2.7,1.6,-1,0
82,Speedy Claxton\claxtsp01,PG,27,NOK,71,2019,16.1,0.497,0.086,0.435,2.2,9.3,5.7,29.8,2.9,0.2,14.9,23.8,,1.1,2,3,0.072,,-0.1,0.3,0.1,1.1
83,Mateen Cleaves\cleavma01,PG,28,SEA,27,230,9.1,0.448,0.225,0.338,1,6.4,3.7,27.4,0.7,0.7,14.7,18.6,,0.1,-0.1,0,-0.005,,-2,-3,-5,-0.2
84,Jarron Collins\collija03,C,27,UTA,79,1730,11,0.551,0,0.782,9.3,14.1,11.7,9.1,1.1,1.3,13.9,11.7,,2.5,1.4,3.9,0.107,,-2.2,0,-2.1,-0.1
85,Jason Collins\collija04,C,27,NJN,71,1895,5.5,0.425,0.046,0.328,5.7,15.6,10.6,5.7,1.3,1.7,16.9,9,,-0.9,2.9,2,0.051,,-5.3,1.5,-3.8,-0.9
86,Nick Collison\collini01,PF,25,SEA,66,1448,14,0.556,0.008,0.287,11.8,19,15.4,8.1,0.8,1.9,14.8,16.1,,2.2,0.1,2.3,0.075,,-1.1,-2.1,-3.2,-0.4
87,Brian Cook\cookbr01,PF,25,LAL,81,1535,15.6,0.578,0.164,0.198,6.8,14.2,10.5,8.3,1.3,1.6,9.9,18.3,,3,1.5,4.5,0.142,,0.2,-0.3,-0.1,0.7
88,Jamal Crawford\crawfja01,SG,25,NYK,79,2555,15.5,0.544,0.333,0.406,1.7,10.2,5.9,20.9,1.8,0.5,14.4,21.5,,3.7,0.8,4.5,0.084,,1.6,-1.1,0.5,1.6
