,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,Birth,
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
1,Joel Bolomboy,2,2017,2018,18,91,12,22,1,5,6,12,10,27,2,3,2,4,4,31,0.545,0.2,0.5,5.1,1.7,1.5,0.1,28-Jan-94,Kiev
2,Kyrylo Fesenko,5,2008,2012,135,1107,125,252,0,2,55,134,97,269,40,19,53,66,224,305,0.496,0,0.41,8.2,2.3,2,0.3,24-Dec-86,Dnepropetrovsk
3,Viktor Khryapa,4,2005,2008,143,2351,251,567,14,48,127,193,168,492,142,86,48,139,353,643,0.443,0.292,0.658,16.4,4.5,3.4,1,3-Aug-82,Kiev
4,Viacheslav Kravtsov,2,2013,2014,45,283,41,61,0,0,15,45,33,62,10,5,10,20,39,97,0.672,,0.333,6.3,2.2,1.4,0.2,25-Aug-87,Odessa
5,Alex Len,7,2014,2020,467,9170,1417,2863,96,288,783,1134,948,2920,395,191,461,577,1238,3713,0.495,0.333,0.69,19.6,8,6.3,0.8,16-Jun-93,Antratsit
6,Stanislav Medvedenko,7,2001,2007,263,3340,590,1311,2,13,208,281,335,744,136,88,42,159,518,1390,0.45,0.154,0.74,12.7,5.3,2.8,0.5,4-Apr-79,Karapyshi
7,Sviatoslav Mykhailiuk,2,2019,2020,98,1705,212,545,144,374,69,90,26,140,143,55,5,82,112,637,0.389,0.385,0.767,17.4,6.5,1.4,1.5,10-Jun-97,Cherkasy
8,Oleksiy Pecherov,3,2008,2010,111,1044,160,414,45,155,73,92,88,266,20,21,22,59,119,438,0.386,0.29,0.793,9.4,3.9,2.4,0.2,8-Dec-85,Donetsk
9,Vitaly Potapenko,11,1997,2007,610,11608,1639,3424,1,6,716,1031,1067,2725,418,258,209,786,1537,3995,0.479,0.167,0.694,19,6.5,4.5,0.7,21-Mar-75,Kiev